TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24067001000066',NY-I-1981,240975,03/08/2024,,CAVE DU PERE TIENNE,51,FRANCE,81,TABLE WHITE WINE
'24067001000068',NY-I-1981,249865,03/08/2024,,CAVE DU PERE TIENNE,51,FRANCE,81,TABLE WHITE WINE
'24067001000070',BW-MA-19,240001,03/11/2024,BRUT CUVEE RJR,WESTPORT RIVERS VINEYARD AND WINERY,26,MASSACHUSETTS,84,SPARKLING WINE/CHAMPAGNE
'24067001000082',MA-I-15076,240009,03/11/2024,,DOMAINE DE CHEVALIER,51,FRANCE,80,TABLE RED WINE
'24067001000083',VA-I-21195,240703,03/11/2024,CAMPO DEL PARI,PAKRAVAN-PAPI,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24067001000118',NY-I-1335,240136,03/08/2024,,DOMAINE BONY GACHOT,51,FRANCE,80,TABLE RED WINE
'24067001000122',NY-I-1335,240137,03/08/2024,,DOMAINE BONY GACHOT,51,FRANCE,80,TABLE RED WINE
'24067001000123',NY-I-21921,240065,03/07/2024,RUM BARREL AGED IMPERIAL STOUT,BLOOD BROTHERS BREWING,69,CANADA,954,STOUT
'24067001000160',PR-I-15014,24DC01,03/08/2024,,MV,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24067001000174',FL-I-21818,24V309,03/11/2024,,VINA ALBINA,52,SPAIN,80,TABLE RED WINE
'24067001000214',CO-I-21049,24SK14,03/12/2024,,DOMAINE LANDRON CHARTIER,51,FRANCE,81,TABLE WHITE WINE
'24067001000215',MA-I-125,24CEUG,03/08/2024,,CANTINA COLLI EUGANEI S.C.A,50,ITALY,81,TABLE WHITE WINE
'24067001000217',CO-I-21049,24SK15,03/12/2024,,DOMAINE LANDRON CHARTIER,51,FRANCE,81,TABLE WHITE WINE
'24067001000218',BR-FL-21058,24AF4C,03/07/2024,,GRUNT,16,FLORIDA,902,ALE
'24067001000327',BR-TX-20029,24BAPB,03/12/2024,BARREL AGED PEANUT BUTTER CUP STOUT,903 BREWERS,44,TEXAS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24067001000334',BWN-CA-15020,241701,03/08/2024,CELLAR MASTER SELECTION,HERZOG,01,CALIFORNIA,80A,ROSE WINE
'24067001000335',BR-NJ-21136,24KCHS,03/07/2024,,HOLY SCHMOLY,03,NEW JERSEY,902,ALE
'24067001000336',BR-IL-21318,24MESR,03/07/2024,MEHNDI SPECIAL RESERVE '23,MORE BREWING COMPANY,04,ILLINOIS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24067001000342',BWN-CA-23176,24GECH,03/08/2024,GENNY'S,HOOPES,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24067001000343',NY-I-21692,241377,03/08/2024,BACIAMI ANCORA,GISMONDI,50,ITALY,80A,ROSE WINE
