TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24054001000721',MO-I-21017,240924,03/01/2024,ARBORINA,BOVIO,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24054001000725',BR-OR-21186,240030,03/05/2024,ELECTRIC HEADBAND,GREAT NOTION,38,OREGON,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24054001000727',MO-I-21017,240925,03/01/2024,GATTERA,BOVIO,50,ITALY,80,TABLE RED WINE
'24054001000728',MO-I-21017,240926,03/01/2024,PARUSSI,BOVIO,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24054001000755',BR-OR-21186,240034,03/05/2024,REEFERM MADNESS,GREAT NOTION,38,OREGON,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24054001000765',TX-I-1277,241041,03/05/2024,CREME DE MURE,SATHENAY,51,FRANCE,651,FRUIT FLAVORED LIQUEURS
'24054001000853',CA-I-4580,240006,03/04/2024,COCCIAPAZZA RISERVA,TORRE DEI BEATI,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24055001000095',CA-I-21523,240461,03/01/2024,,FAULTLINE,5K,SCOTLAND,151,SCOTCH WHISKY FB
'24055001000107',DSP-MI-20111,240020,03/05/2024,OFF THE DOCK,GREAT TURTLE BREWERY & DISTILLERY,06,MICHIGAN,643,VODKA SPECIALTIES
'24056001000007',DSP-NH-21019,240004,03/12/2024,,CATHEDRAL LEDGE DISTILLERY,33,NEW HAMPSHIRE,339,VODKA - OTHER FLAVORED
'24056001000008',DSP-NH-21019,240005,03/12/2024,,CATHEDRAL LEDGE DISTILLERY,33,NEW HAMPSHIRE,339,VODKA - OTHER FLAVORED
'24056001000009',DSP-NH-21019,240006,03/13/2024,,CATHEDRAL LEDGE DISTILLERY,33,NEW HAMPSHIRE,339,VODKA - OTHER FLAVORED
'24056001000011',DSP-NH-21019,240007,03/12/2024,,CATHEDRAL LEDGE DISTILLERY,33,NEW HAMPSHIRE,339,VODKA - OTHER FLAVORED
'24056001000086',BR-MA-21282,24AT03,03/05/2024,PINEAPPLE PIRATE SHIP INDIA PALE ALE,ANGLE TREE BREWERY,26,MASSACHUSETTS,902,ALE
'24057001000067',BR-OH-20166,242502,03/12/2024,FRISCH'S STRAWBERRY PIE ALE,TAFT'S BREWING CO,09,OHIO,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24057001000075',BR-OH-20166,242503,03/12/2024,RASPBERRY FRUITED ALE,TAFT'S BREWING CO,09,OHIO,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24057001000213',PR-S-20007,240004,03/07/2024,CREOLE DRINKS,TRAGO,4A,PUERTO RICO,649,OTHER SPECIALTIES & PROPRIETARIES
'24057001000228',GA-I-21200,24031L,03/12/2024,JAPANESE SWEET POTATO SPIRITS,NARUTO NO IMOYA,59,JAPAN,699,OTHER SPECIALTIES & PROPRIETARIES
'24057001000235',NY-I-15053,240226,03/08/2024,MENTHE LIQUEUR ,DISTILLERIE DU CAP FERRET,51,FRANCE,665,HERBS & SEEDS SCHNAPPS LIQUEUR
'24057001000297',DSP-MO-20070,24MOMH,03/05/2024,MISSOURI MANHATTAN,BLACKSMITH DISTILLERY,29,MISSOURI,721,WHISKY MANHATTAN (UNDER 48 PROOF)
'24057001000313',BR-NC-21266,24MP12,03/05/2024,MIDNIGHT PADDLE BLACK IPA INDIA PALE ALE,FRENCH BROAD RIVER BREWERY,35,NORTH CAROLINA,907,CEREAL BEVERAGES - NEAR BEER (NON ALCOHOLIC)
'24057001000678',BR-TX-20640,242400,03/11/2024,VANILLA CREAM ALE,LADY B,44,TEXAS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24057001000692',BR-TX-20640,242403,03/12/2024,PEANUT BUTTER STOUT,SHOWCASE SHUTDOWN,44,TEXAS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24057001000729',BR-TX-20366,240026,03/05/2024,BRAMBLE ON BLACKBERRY SOUR,BRAZOS VALLEY BREWING COMPANY,44,TEXAS,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24057001000741',NY-I-15121,24PR13,03/07/2024,,GODIN,54,PORTUGAL,80,TABLE RED WINE
'24057001000780',NY-I-15121,24PR14,03/07/2024,,GODIN,54,PORTUGAL,81,TABLE WHITE WINE
